"x","y","canopy_height","mean_annual_precipitation","percentage_tree_cover","globcover_numeric","globcover_label","intact_forest","forest_zone","total_burnt_area","mean_burnt_area","height_cat","firesize"
-91.25,30.25,20.7541666666667,1528.77777777778,58.5074996948242,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,52.1628489270806,3.72591778050576,"small","big_fire"
-91.25,30.75,23.146875,1557,59.9297218322754,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,20.5177949741483,1.46555678386773,"small","big_fire"
-91.25,31.25,26.975,1556.33333333333,82.9902801513672,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,9.14451974630356,0.653179981878826,"medium","small_no_fire"
-90.75,15.25,13,1677.44444444444,65.0994415283203,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,11.9617059454322,0.85440756753087,"small","small_no_fire"
-90.75,17.25,21.6125,1828.11111111111,67.6394424438477,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,93.7140348404646,6.69385963146176,"small","big_fire"
-90.75,17.75,11.7852941176471,1522.55555555556,69.3158340454102,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,112.074232339859,8.00530230998993,"small","big_fire"
-90.75,29.75,19.4307692307692,1623.44444444444,61.1952781677246,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,35.2483357489109,2.51773826777935,"small","big_fire"
-90.75,30.25,23.0308823529412,1595.33333333333,63.8661117553711,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,27.4827270880342,1.96305193485958,"small","big_fire"
-90.75,30.75,27.25375,1646.11111111111,74.4388885498047,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,2.08499371260405,0.14892812232886,"medium","small_no_fire"
-90.75,31.25,28.0973684210526,1566.66666666667,78.7483367919922,60,"Open (15-40%) broadleaved deciduous forest/woodland (>5m)","Non-Intact Forest",TRUE,6.97836053371429,0.498454323836735,"medium","small_no_fire"
-90.25,14.25,13.79,1840.11111111111,72.3919448852539,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,31.6501997709274,2.26072855506624,"small","big_fire"
-90.25,16.75,17.94,1787.11111111111,66.6669464111328,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,52.9498346596956,3.78213104712112,"small","big_fire"
-90.25,17.25,10.50625,1619,74.0849990844727,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,74.6289178654552,5.33063699038965,"small","big_fire"
-90.25,29.75,12.5636363636364,1585,44.8216667175293,140,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)","Non-Intact Forest",TRUE,25.5431873574853,1.82451338267752,"small","big_fire"
-90.25,30.75,24.6,1624,67.1849975585938,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,9.02136189490557,0.644382992493255,"small","small_no_fire"
-90.25,31.25,27.775,1569.22222222222,69.263053894043,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,1.57025290280581,0.112160921628986,"medium","small_no_fire"
-89.75,13.75,13.25,1862.22222222222,61.3427772521973,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,9.64184137433767,0.688702955309834,"small","small_no_fire"
-89.75,16.75,11.5285714285714,1645.55555555556,65.7836074829102,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,38.1463379114866,2.72473842224904,"small","big_fire"
-89.75,29.75,4.63333333333333,1557.22222222222,46.5455551147461,170,"Closed (>40%) broadleaved forest or shrubland permanently flooded - Saline or brackish water","Non-Intact Forest",TRUE,8.64867250621319,0.617762321872371,"small","small_no_fire"
-89.75,30.25,8.77222222222222,1533,52.3511123657227,100,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)","Non-Intact Forest",TRUE,23.6020184755325,1.68585846253804,"small","big_fire"
-89.75,30.75,25.8461538461538,1594.77777777778,78.8866653442383,60,"Open (15-40%) broadleaved deciduous forest/woodland (>5m)","Non-Intact Forest",TRUE,4.59235525131226,0.328025375093733,"medium","small_no_fire"
-89.75,31.25,21.6071428571429,1571.22222222222,77.7063903808594,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,16.7502700164914,1.19644785832082,"small","small_no_fire"
-89.75,31.75,25.2107142857143,1510.22222222222,76.4161148071289,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,0.660971082746983,0.047212220196213,"medium","small_no_fire"
-89.25,14.25,14.9125,1700.77777777778,66.6738891601562,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,9.17767294496298,0.655548067497356,"small","small_no_fire"
-89.25,16.75,13.7333333333333,1705.22222222222,77.4888916015625,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,29.2955095134676,2.09253639381911,"small","big_fire"
-89.25,30.75,21.8705128205128,1621.66666666667,81.0602798461914,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,40.1813694834709,2.87009782024792,"small","big_fire"
-89.25,31.25,24.337037037037,1557.88888888889,75.8486099243164,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,44.2209092751145,3.1586363767939,"small","big_fire"
-88.75,14.25,14.85,1860.66666666667,72.2244415283203,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,9.27528746426105,0.662520533161504,"small","small_no_fire"
-88.75,15.25,15.6,1755.66666666667,60.6969451904297,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,27.0258874669671,1.93042053335479,"small","big_fire"
-88.75,17.75,25.5038461538462,1651.77777777778,71.9766693115234,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,50.6817774809897,3.62012696292784,"medium","big_fire"
-88.75,30.75,20.36,1636.88888888889,82.6258316040039,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,70.157795548439,5.01127111060279,"small","big_fire"
-88.75,31.25,25.15625,1569.11111111111,83.9680557250977,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,62.8746801912785,4.49104858509132,"medium","big_fire"
-88.25,13.25,24.95,1794,44.236946105957,140,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)","Non-Intact Forest",TRUE,44.44913841784,3.17493845841714,"small","big_fire"
-88.25,14.25,20.05,1736.55555555556,71.4502792358398,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,12.7212515994906,0.908660828535046,"small","small_no_fire"
-88.25,14.75,16.75,1706.33333333333,72.6813888549805,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,13.2259777709842,0.944712697927441,"small","small_no_fire"
-88.25,15.25,17.9,1652.66666666667,61.8586120605469,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,45.7616525217891,3.26868946584208,"small","big_fire"
-88.25,17.75,14.89,1705.88888888889,40.4150009155273,140,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)","Non-Intact Forest",TRUE,11.7184208333492,0.837030059524945,"small","small_no_fire"
-88.25,30.75,20.7155172413793,1609.44444444444,62.9119453430176,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,12.8447317481041,0.917480839150293,"small","small_no_fire"
-88.25,31.25,21.4861111111111,1589.22222222222,80.5,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,14.4361792504787,1.03115566074848,"small","small_no_fire"
-88.25,31.75,23.65,1524.44444444444,85.399169921875,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,8.88112904131413,0.634366360093866,"small","small_no_fire"
-87.75,14.75,8.9375,1857.88888888889,69.4327774047852,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,26.3219149634242,1.88013678310173,"small","big_fire"
-87.75,15.25,10.8625,1519.88888888889,63.5611114501953,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,53.5968558117747,3.8283468436982,"small","big_fire"
-87.75,30.75,19.6857142857143,1620.11111111111,69.9230575561523,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,15.1597049534321,1.08283606810229,"small","small_no_fire"
-87.75,31.25,26.5354166666667,1582.55555555556,76.320556640625,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,10.2771104872227,0.734079320515905,"medium","small_no_fire"
-87.75,31.75,29.1821428571429,1503.66666666667,82.7305526733398,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,7.71291637420654,0.55092259815761,"medium","small_no_fire"
-87.75,33.75,26.85,1500.33333333333,82.4322204589844,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,2.14369003474712,0.153120716767652,"medium","small_no_fire"
-87.25,12.75,8.25,1782.33333333333,47.2105560302734,110,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)","Non-Intact Forest",TRUE,108.118047602475,7.72271768589105,"small","big_fire"
-87.25,30.75,19.15,1591.77777777778,59.6822204589844,100,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)","Non-Intact Forest",TRUE,17.2333107367158,1.23095076690827,"small","small_no_fire"
-87.25,31.25,20.2,1583,66.3333358764648,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,28.8160675466061,2.05829053904329,"small","big_fire"
-86.75,15.75,15.8,1938.5,42.7588882446289,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,5.79854387417436,0.414181705298168,"small","small_no_fire"
-86.75,30.75,19.1208333333333,1559.77777777778,67.7455520629883,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,213.181296020746,15.2272354300533,"small","big_fire"
-86.75,31.25,20.96,1557,79.0102767944336,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,85.233968116343,6.08814057973879,"small","big_fire"
-86.25,30.75,18.1510204081633,1564.22222222222,59.9338874816895,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,112.757957391441,8.05413981367435,"small","big_fire"
